Year,Team_ID,Unit,Games,Rushes,Rushing_Yards,Pass_Attempts,Completions,Passing_Yards,Fumbles_Lost,Intercepted,Third_Down_Conversions,Third_Down_Attempts,Touchdowns,Points_Scored,Penalties,Penalty_Yards,Red_Zone_Visits,Red_Zone_Touchdowns,Red_Zone_Field_Goals,Sacks,Runs_Left,Runs_Left_Yardage,Runs_Center,Runs_Center_Yardage,Runs_Right,Runs_Right_Yardage,Short_Passes,Short_Pass_Completions,Short_Pass_Yardage,Medium_Passes,Medium_Pass_Completions,Medium_Pass_Yardage,Long_Passes,Long_Pass_Completions,Long_Pass_Yardage,Fourth_Down_Attempts,Fourth_Down_Conversions,Third_Down_YtG_Total,Sack_Yardage,Fumbles,Red_Zone_Rushes,Red_Zone_Rushing_Yardage,Red_Zone_Passes,Red_Zone_Pass_Completions,Red_Zone_Passing_Yardage,First_Downs_Rushing,First_Downs_Passing,First_Downs_Penalty,Punts,Punting_Yardage,Punting_Net_Yardage,Punt_Returns,Punt_Return_Yardage,Kickoff_Returns,Kickoff_Return_Yardage,Field_Goals,Field_Goals_Attempted,Points_After_Touchdown,PATs_Attempted,Two-Point_Conversion_Attempts,Two-Point_Conversions,Passes_Defensed,Key_Run_Blocks,Key_Run_Block_Opportunities,Hurries,Blocked_Passes,Run_Plays,Pass_Plays,Touchdowns_Passing,Touchdowns_Rushing,Passes_Dropped,Running_Back_Runs,Running_Back_Run_Yardage
2016,0,Offense,16,504,2410,489,291,2778,6,11,84,225,34,334,85,582,41,23,16,29,146,684,315,1605,35,132,300,212,1508,142,68,994,46,11,276,1,6,1684,188,14,74,213,53,34,180,131,138,21,101,4145,3482,37,213,36,795,25,28,37,37,0,0,47,170,446,54,16,504,518,17,16,19,401,1934
2016,0,Defense,16,449,2025,504,310,3369,9,15,87,219,35,335,96,749,42,29,10,52,127,527,243,1195,68,321,284,210,1862,160,89,1250,59,11,257,3,8,1819,334,20,61,204,51,30,229,104,171,16,90,3901,3308,37,400,51,1231,23,28,36,36,2,1,60,137,407,62,20,449,556,18,16,31,0,0
2016,1,Offense,16,364,1489,587,335,3516,11,20,67,224,23,269,92,695,34,17,14,73,71,335,204,764,85,397,341,224,1778,189,97,1353,56,14,385,4,18,1964,433,27,38,86,43,30,218,79,172,21,98,4303,3600,36,317,35,756,31,34,22,22,3,1,38,124,332,27,15,364,660,18,4,25,327,1291
2016,1,Defense,16,532,2266,501,351,3634,12,20,87,224,39,367,124,947,51,30,13,46,68,500,305,1119,145,664,298,245,2028,149,87,1152,54,19,454,5,9,1794,276,21,94,260,48,38,225,126,184,15,92,4098,3381,46,413,31,667,22,30,43,43,0,0,68,187,485,82,20,532,547,24,15,29,0,0
2016,2,Offense,16,484,1965,523,324,3290,14,14,85,232,34,415,110,851,50,26,19,33,78,305,246,973,156,694,298,231,1922,162,83,1040,59,10,328,2,9,1822,185,20,78,229,65,47,271,107,155,19,78,3633,3094,46,520,41,1198,43,51,40,41,0,0,75,144,454,74,16,484,556,19,13,29,424,1674
2016,2,Defense,16,422,1723,577,333,3549,12,26,70,223,33,306,116,778,38,21,12,46,112,498,238,946,68,283,329,234,2077,176,86,1155,70,13,317,4,16,1935,318,22,42,164,50,28,248,92,171,25,96,4247,3534,34,259,39,907,25,30,33,33,0,0,47,118,359,70,19,422,623,20,10,23,0,0
2016,3,Offense,16,555,2648,483,328,3911,5,14,98,220,45,426,114,853,59,30,25,22,182,954,279,1330,91,367,265,200,1769,148,104,1472,65,24,670,3,6,1686,144,13,81,265,73,43,293,144,188,12,75,3443,3022,30,327,42,953,32,39,46,46,1,1,61,191,506,59,19,555,505,30,15,18,461,2108
2016,3,Defense,16,399,2042,582,366,4351,6,23,80,205,41,355,84,604,52,26,17,30,107,528,190,943,96,578,340,262,2571,163,87,1315,76,17,465,3,7,1550,189,16,57,126,61,37,213,111,198,18,77,3405,2778,37,281,47,1200,23,31,38,39,2,1,50,144,361,41,14,399,612,28,13,31,0,0
2016,4,Offense,16,563,2489,454,279,3054,14,8,98,231,39,387,101,781,47,29,15,27,151,593,292,1422,106,494,253,190,1661,147,71,927,54,18,466,1,1,1680,148,25,80,279,49,37,226,138,156,18,86,4213,3756,51,515,25,695,31,41,42,42,0,0,53,177,503,80,13,563,481,16,21,33,477,1958
2016,4,Defense,16,375,1569,557,338,3573,12,15,72,224,22,214,109,771,34,16,13,61,74,260,229,1002,72,307,321,234,1852,171,88,1221,61,16,500,2,10,2046,366,24,40,103,43,24,172,81,161,22,113,4987,4112,33,257,28,583,18,22,22,22,1,0,50,106,326,64,11,375,618,9,10,28,0,0
